EmptyCavePath	CaveBatRoom	FindGoldRoom	FindHealthPotion	BanditRoom	FindBroadSwordRoom	CaveDragonRoom	LeaveCaveRoom
GiantSpiderRoom	FindRockRoom	FindRockRoom	EmptyCavePath	FindGoldRoom	FindGoldRoom	EmptyCavePath	CaveDragonRoom
FindHealthPotion	FindGoldRoom	GiantSpiderRoom	EmptyCavePath	FindHealthPotion	EmptyCavePath	FindHealthPotion	EmptyCavePath
FindRockRoom	FindRockRoom	FindDaggerRoom	FindDaggerRoom	FindGoldRoom	EmptyCavePath	FindHealthPotion	FindHealthPotion
EmptyCavePath	EmptyCavePath	EmptyCavePath	FindRockRoom	EmptyCavePath	EmptyCavePath	FindHealthPotion	EmptyCavePath
EmptyCavePath	StartingRoom	EmptyCavePath	FindRockRoom	BanditRoom	FindHealthPotion	EmptyCavePath	EmptyCavePath
FindRockRoom	EmptyCavePath	FindRockRoom	FindGoldRoom	EmptyCavePath	FindDaggerRoom	EmptyCavePath	EmptyCavePath
FindGoldRoom	FindRockRoom	FindDaggerRoom	CaveBatRoom	EmptyCavePath	EmptyCavePath	EmptyCavePath	OgreRoom
EmptyCavePath	GiantSpiderRoom	EmptyCavePath	EmptyCavePath	EmptyCavePath	FindGoldRoom	EmptyCavePath	FindGoldRoom
EmptyCavePath	EmptyCavePath	CaveBatRoom	EmptyCavePath	FindHealthPotion	EmptyCavePath	EmptyCavePath	EmptyCavePath
FindHealthPotion	FindGoldRoom	EmptyCavePath	FindBroadSwordRoom	OgreRoom	EmptyCavePath	FindHealthPotion	FindDiamondSwordRoom
BanditRoom	EmptyCavePath	FindHealthPotion	FindGoldRoom	EmptyCavePath	EmptyCavePath	EmptyCavePath	CaveBatRoom
